"Date","Price","Open","High","Low","Vol.","Change %"
"06/07/2021","270,741","269,960","271,074","268,373","","0.19%"
"06/04/2021","270,228","267,205","271,120","265,143","","1.19%"
"06/03/2021","267,045","272,507","272,772","266,431","","-1.95%"
"06/02/2021","272,361","271,366","272,653","270,296","","0.42%"
"06/01/2021","271,209","272,395","273,726","270,218","","-0.42%"
"05/31/2021","272,354","271,943","273,195","271,543","","0.21%"
"05/28/2021","271,774","271,005","272,257","268,822","","0.33%"
"05/27/2021","270,885","271,756","272,491","269,780","","-0.29%"
"05/26/2021","271,665","272,100","274,107","270,839","","-0.11%"
"05/25/2021","271,959","269,909","272,312","268,009","","0.86%"
"05/24/2021","269,649","270,211","271,017","269,184","","-0.09%"
"05/21/2021","269,903","269,877","271,288","268,309","","0.06%"
"05/20/2021","269,738","267,026","270,842","266,159","","1.11%"
"05/19/2021","266,784","266,816","269,960","264,503","","0.02%"
"05/18/2021","266,733","266,635","268,052","265,889","","0.09%"
"05/17/2021","266,506","261,780","266,911","261,411","","1.88%"
"05/14/2021","261,594","259,374","262,021","258,364","","0.93%"
"05/13/2021","259,185","257,731","259,645","256,801","","0.59%"
"05/12/2021","257,654","260,869","261,758","257,401","","-1.19%"
"05/11/2021","260,761","260,658","261,564","258,065","","0.09%"
"05/10/2021","260,534","261,879","262,454","259,015","","-0.33%"
"05/07/2021","261,404","259,929","263,338","258,380","","0.63%"
"05/06/2021","259,759","257,933","260,350","256,047","","0.77%"
"05/05/2021","257,772","256,693","258,148","255,493","","0.48%"
"05/04/2021","256,547","259,086","259,650","255,533","","-0.92%"
"05/03/2021","258,935","255,459","259,844","255,086","","1.39%"
"04/30/2021","255,384","256,063","256,694","254,695","","-0.19%"
"04/29/2021","255,875","258,341","259,536","253,770","","-0.90%"
"04/28/2021","258,196","257,325","258,513","255,572","","0.41%"
"04/27/2021","257,149","258,030","258,688","256,894","","-0.29%"
"04/26/2021","257,890","258,014","258,735","256,197","","-0.05%"
"04/23/2021","258,019","259,072","260,878","257,100","","-0.30%"
"04/22/2021","258,807","260,611","261,291","257,996","","-0.63%"
"04/21/2021","260,446","257,892","261,247","257,469","","1.04%"
"04/20/2021","257,777","257,694","258,166","255,617","","0.07%"
"04/19/2021","257,601","259,184","260,478","256,906","","-0.38%"
"04/16/2021","258,584","257,661","259,851","256,540","","0.46%"
"04/15/2021","257,397","253,564","258,584","253,223","","1.55%"
"04/14/2021","253,465","254,908","255,679","252,934","","-0.50%"
"04/13/2021","254,743","252,912","255,476","251,768","","0.78%"
"04/12/2021","252,766","253,984","254,829","252,082","","-0.41%"
"04/09/2021","253,794","255,314","255,732","252,133","","-0.48%"
"04/08/2021","255,029","251,872","255,689","251,197","","1.32%"
"04/07/2021","251,719","252,918","253,079","250,782","","-0.41%"
"04/06/2021","252,748","250,848","253,210","250,641","","0.84%"
"04/05/2021","250,644","251,100","251,654","249,886","","-0.15%"
"04/02/2021","251,028","251,275","251,652","251,090","","-0.01%"
"04/01/2021","251,049","248,011","251,398","247,712","","1.27%"
"03/31/2021","247,894","244,008","249,144","243,074","","1.70%"
"03/30/2021","243,746","247,326","247,762","243,098","","-1.36%"
"03/29/2021","247,110","249,732","250,163","246,371","","-0.98%"
"03/26/2021","249,565","249,121","250,433","248,158","","0.22%"
"03/25/2021","249,013","250,167","251,854","248,376","","-0.42%"
"03/24/2021","250,070","248,603","250,787","248,149","","0.65%"
"03/23/2021","248,456","250,441","250,945","248,230","","-0.75%"
"03/22/2021","250,338","251,475","251,681","248,842","","-0.35%"
"03/19/2021","251,221","250,231","252,100","249,011","","0.55%"
"03/18/2021","249,838","251,766","253,061","247,715","","-0.72%"
"03/17/2021","251,657","249,520","252,743","248,750","","0.96%"
"03/16/2021","249,273","249,458","250,936","248,641","","0.01%"
"03/15/2021","249,242","248,536","249,925","247,926","","0.40%"
"03/12/2021","248,257","248,140","248,979","244,380","","0.14%"
"03/11/2021","247,912","248,738","250,646","247,677","","-0.25%"
"03/10/2021","248,521","247,082","248,789","246,023","","0.66%"
"03/09/2021","246,879","241,764","247,800","241,219","","2.24%"
"03/08/2021","241,477","243,500","245,974","240,775","","-0.65%"
"03/05/2021","243,053","242,203","244,209","240,668","","0.47%"
"03/04/2021","241,914","243,707","245,835","241,169","","-0.69%"
"03/03/2021","243,595","248,968","249,378","242,441","","-1.98%"
"03/02/2021","248,508","245,881","249,169","243,718","","1.13%"
"03/01/2021","245,742","247,182","251,075","245,118","","-0.45%"
"02/26/2021","246,849","249,245","252,846","244,881","","-0.94%"
"02/25/2021","249,199","254,234","254,319","248,619","","-1.93%"
"02/24/2021","254,094","254,454","255,610","251,177","","-0.09%"
"02/23/2021","254,323","255,450","256,366","253,071","","-0.38%"
"02/22/2021","255,305","250,673","255,870","250,510","","1.88%"
"02/19/2021","250,593","249,048","252,003","246,858","","0.77%"
"02/18/2021","248,690","249,042","251,030","247,959","","-0.02%"
"02/17/2021","248,732","249,897","251,888","248,051","","-0.40%"
"02/16/2021","249,737","253,144","254,303","249,145","","-1.27%"
"02/15/2021","252,955","255,046","255,497","252,639","","-0.70%"
"02/12/2021","254,737","255,090","255,808","252,948","","-0.09%"
"02/11/2021","254,969","257,753","258,205","254,388","","-1.04%"
"02/10/2021","257,648","257,289","259,474","256,529","","0.23%"
"02/09/2021","257,045","256,282","258,789","256,008","","0.35%"
"02/08/2021","256,145","254,707","257,480","253,022","","0.85%"
"02/05/2021","253,989","251,539","254,690","251,232","","1.09%"
"02/04/2021","251,240","256,866","257,010","250,277","","-2.11%"
"02/03/2021","256,647","257,765","258,453","256,221","","-0.35%"
"02/02/2021","257,560","260,874","261,682","256,583","","-1.17%"
"02/01/2021","260,600","261,385","262,433","259,420","","0.69%"
"01/29/2021","258,822","259,305","263,207","258,383","","-0.01%"
"01/28/2021","258,856","259,043","262,301","257,688","","0.04%"
"01/27/2021","258,748","260,314","260,558","257,296","","-0.40%"
"01/26/2021","259,797","260,197","262,002","259,746","","-0.06%"
"01/25/2021","259,949","260,455","261,957","258,991","","0.09%"
"01/22/2021","259,728","261,780","262,022","257,836","","-0.60%"
"01/21/2021","261,299","262,612","262,912","260,143","","-0.41%"
"01/20/2021","262,379","258,839","262,660","257,095","","1.51%"
"01/19/2021","258,476","258,620","259,678","257,821","","0.08%"
"01/18/2021","258,267","256,417","259,531","253,827","","0.92%"
"01/15/2021","255,905","259,469","260,855","255,614","","-1.32%"
"01/14/2021","259,336","259,429","261,136","258,076","","0.02%"
"01/13/2021","259,277","262,100","263,293","259,163","","-0.97%"
"01/12/2021","261,826","260,300","263,807","259,506","","0.91%"
"01/11/2021","259,454","259,279","262,122","254,763","","0.41%"
"01/08/2021","258,394","266,204","268,509","256,390","","-2.75%"
"01/07/2021","265,690","266,628","268,451","265,245","","-0.18%"
"01/06/2021","266,175","271,356","272,287","264,160","","-1.77%"
