"Date","Price","Open","High","Low","Vol.","Change %"
"06/10/2022","21.8700","21.6861","22.0150","21.2800","","0.97%"
"06/09/2022","21.6605","22.0570","22.1650","21.5400","","-1.69%"
"06/08/2022","22.0331","22.2300","22.2550","21.8050","","-0.77%"
"06/07/2022","22.2051","22.0805","22.3150","21.8650","","0.68%"
"06/06/2022","22.0551","21.9150","22.5350","21.8945","","0.66%"
"06/03/2022","21.9100","22.3045","22.5250","21.8400","","-1.66%"
"06/02/2022","22.2800","21.8355","22.3625","21.7500","","2.20%"
"06/01/2022","21.8000","21.5635","22.0050","21.4200","","1.23%"
"05/31/2022","21.5350","21.9800","22.0158","21.4800","","-1.87%"
"05/30/2022","21.9462","22.1200","22.3150","21.9050","","-0.70%"
"05/27/2022","22.1000","22.0154","22.4600","21.9341","","0.50%"
"05/26/2022","21.9905","21.9940","22.0850","21.7150","","0.10%"
"05/25/2022","21.9685","22.1200","22.1504","21.7330","","-0.55%"
"05/24/2022","22.0910","21.8050","22.2150","21.6600","","1.47%"
"05/23/2022","21.7706","21.7700","22.2000","21.6798","","0.09%"
"05/20/2022","21.7500","21.9250","22.0950","21.6050","","-0.66%"
"05/19/2022","21.8945","21.4210","22.0000","21.2750","","2.33%"
"05/18/2022","21.3955","21.6344","21.7850","21.3600","","-1.02%"
"05/17/2022","21.6150","21.6220","21.9350","21.5050","","0.07%"
"05/16/2022","21.5990","21.1050","21.7150","20.8350","","2.51%"
"05/13/2022","21.0700","20.6905","21.1250","20.4597","","1.97%"
"05/12/2022","20.6620","21.5650","21.7150","20.6150","","-4.15%"
"05/11/2022","21.5555","21.2700","21.9700","21.2350","","1.48%"
"05/10/2022","21.2406","21.7900","22.1350","21.1800","","-2.52%"
"05/09/2022","21.7900","22.3300","22.3750","21.6950","","-2.46%"
"05/06/2022","22.3400","22.5275","22.6455","22.0950","","-0.72%"
"05/05/2022","22.5015","23.0025","23.2950","22.3150","","-1.99%"
"05/04/2022","22.9580","22.5745","23.1250","22.2100","","1.79%"
"05/03/2022","22.5545","22.6500","22.8550","22.4200","","-0.33%"
"05/02/2022","22.6295","22.7700","22.8600","22.1200","","-0.49%"
"04/29/2022","22.7400","23.1539","23.5850","22.6800","","-1.70%"
"04/28/2022","23.1339","23.2850","23.4150","22.8850","","-0.65%"
"04/27/2022","23.2848","23.5050","23.7050","23.2400","","-0.85%"
"04/26/2022","23.4846","23.6251","23.9750","23.3950","","-0.51%"
"04/25/2022","23.6051","24.1450","24.1875","23.3950","","-2.22%"
"04/22/2022","24.1400","24.6600","24.6800","24.0431","","-2.01%"
"04/21/2022","24.6351","25.2005","25.2150","24.4150","","-2.15%"
"04/20/2022","25.1760","25.1790","25.3150","24.8869","","0.08%"
"04/19/2022","25.1550","25.8631","26.0050","25.0600","","-2.64%"
"04/18/2022","25.8380","25.6400","26.2350","25.6089","","0.62%"
"04/15/2022","25.6800","25.6750","25.7275","25.6400","","0.20%"
"04/14/2022","25.6291","25.7250","25.8900","25.2950","","-0.35%"
"04/13/2022","25.7200","25.3716","25.8550","25.3400","","1.48%"
"04/12/2022","25.3460","25.1500","25.6250","24.8600","","1.08%"
"04/11/2022","25.0740","24.8000","25.3850","24.6750","","1.31%"
"04/08/2022","24.7500","24.6150","24.8250","24.3700","","0.73%"
